Name,Child Of,Points,Eats,Feet,Inches,Weight,Strength,Hit Points,Dexterity,Will Power,Intelligence,Perception,Health,Fatigue,Damage Resistance,Speed,Basic Lift,Basic Move,Basic Dodge
0,none,3,carnivore,4.000000,6.000000,44.857704,12.000000,11.000000,13.000000,10.000000,10.000000,9.000000,11.000000,10.000000,0.000000,1.500000,28.000000,1.000000,4.000000,
2,none,3,carnivore,4.000000,6.000000,44.857704,12.000000,11.000000,13.000000,10.000000,10.000000,9.000000,11.000000,10.000000,0.000000,1.500000,28.000000,1.000000,4.000000,
4,none,3,carnivore,4.000000,6.000000,44.857704,12.000000,11.000000,13.000000,10.000000,10.000000,9.000000,11.000000,10.000000,0.000000,1.500000,28.000000,1.000000,4.000000,
1,none,17,herbivore,6.000000,0.000000,144.999954,11.000000,10.000000,9.000000,8.000000,9.000000,10.000000,10.000000,10.000000,0.000000,5.250000,24.000000,5.000000,8.000000,
3,none,17,herbivore,6.000000,0.000000,144.999954,11.000000,10.000000,9.000000,8.000000,9.000000,10.000000,10.000000,10.000000,0.000000,5.250000,24.000000,5.000000,8.000000,
5,none,17,herbivore,6.000000,0.000000,144.999954,11.000000,10.000000,9.000000,8.000000,9.000000,10.000000,10.000000,10.000000,0.000000,5.250000,24.000000,5.000000,8.000000,
6,0,7,carnivore,9.000000,0.000000,757.724487,12.000000,10.000000,15.000000,9.000000,9.000000,7.000000,10.000000,10.000000,0.000000,1.500000,28.000000,2.000000,5.000000,
8,0,7,carnivore,9.000000,0.000000,757.724487,12.000000,10.000000,15.000000,9.000000,9.000000,7.000000,10.000000,10.000000,0.000000,1.500000,28.000000,2.000000,5.000000,
10,2,7,carnivore,9.000000,0.000000,757.724487,12.000000,10.000000,15.000000,9.000000,9.000000,7.000000,10.000000,10.000000,0.000000,1.500000,28.000000,2.000000,5.000000,
12,2,7,carnivore,9.000000,0.000000,757.724487,12.000000,10.000000,15.000000,9.000000,9.000000,7.000000,10.000000,10.000000,0.000000,1.500000,28.000000,2.000000,5.000000,
14,4,7,carnivore,9.000000,0.000000,757.724487,12.000000,10.000000,15.000000,9.000000,9.000000,7.000000,10.000000,10.000000,0.000000,1.500000,28.000000,2.000000,5.000000,
16,4,7,carnivore,9.000000,0.000000,757.724487,12.000000,10.000000,15.000000,9.000000,9.000000,7.000000,10.000000,10.000000,0.000000,1.500000,28.000000,2.000000,5.000000,
7,1,11,herbivore,6.000000,0.000000,144.999954,12.000000,8.000000,10.000000,8.000000,9.000000,11.000000,8.000000,10.000000,0.000000,4.500000,28.000000,4.000000,7.000000,
9,1,11,herbivore,6.000000,0.000000,144.999954,12.000000,8.000000,10.000000,8.000000,9.000000,11.000000,8.000000,10.000000,0.000000,4.500000,28.000000,4.000000,7.000000,
11,3,11,herbivore,6.000000,0.000000,144.999954,12.000000,8.000000,10.000000,8.000000,9.000000,11.000000,8.000000,10.000000,0.000000,4.500000,28.000000,4.000000,7.000000,
13,3,11,herbivore,6.000000,0.000000,144.999954,12.000000,8.000000,10.000000,8.000000,9.000000,11.000000,8.000000,10.000000,0.000000,4.500000,28.000000,4.000000,7.000000,
15,5,11,herbivore,6.000000,0.000000,144.999954,12.000000,8.000000,10.000000,8.000000,9.000000,11.000000,8.000000,10.000000,0.000000,4.500000,28.000000,4.000000,7.000000,
17,5,11,herbivore,6.000000,0.000000,144.999954,12.000000,8.000000,10.000000,8.000000,9.000000,11.000000,8.000000,10.000000,0.000000,4.500000,28.000000,4.000000,7.000000,
18,0,19,carnivore,6.000000,0.000000,144.999954,11.000000,11.000000,15.000000,8.000000,8.000000,7.000000,11.000000,10.000000,0.000000,1.750000,24.000000,1.000000,4.000000,
20,0,19,carnivore,6.000000,0.000000,144.999954,11.000000,11.000000,15.000000,8.000000,8.000000,7.000000,11.000000,10.000000,0.000000,1.750000,24.000000,1.000000,4.000000,
22,2,11,carnivore,15.000000,0.000000,6085.061523,13.000000,10.000000,14.000000,10.000000,11.000000,5.000000,10.000000,10.000000,0.000000,1.000000,33.000000,3.000000,6.000000,
24,2,11,carnivore,15.000000,0.000000,6085.061523,13.000000,10.000000,14.000000,10.000000,11.000000,5.000000,10.000000,10.000000,0.000000,1.000000,33.000000,3.000000,6.000000,
26,4,11,carnivore,15.000000,0.000000,6085.061523,13.000000,10.000000,14.000000,10.000000,11.000000,5.000000,10.000000,10.000000,0.000000,1.000000,33.000000,3.000000,6.000000,
28,4,11,carnivore,15.000000,0.000000,6085.061523,13.000000,10.000000,14.000000,10.000000,11.000000,5.000000,10.000000,10.000000,0.000000,1.000000,33.000000,3.000000,6.000000,
19,1,15,herbivore,4.000000,6.000000,44.857704,13.000000,8.000000,11.000000,7.000000,7.000000,8.000000,8.000000,10.000000,0.000000,5.000000,33.000000,4.000000,8.000000,
21,1,15,herbivore,4.000000,6.000000,44.857704,13.000000,8.000000,11.000000,7.000000,7.000000,8.000000,8.000000,10.000000,0.000000,5.000000,33.000000,4.000000,8.000000,
23,3,0,herbivore,6.000000,0.000000,144.999954,12.000000,9.000000,11.000000,6.000000,8.000000,10.000000,9.000000,10.000000,0.000000,5.000000,28.000000,5.000000,8.000000,
25,3,0,herbivore,6.000000,0.000000,144.999954,12.000000,9.000000,11.000000,6.000000,8.000000,10.000000,9.000000,10.000000,0.000000,5.000000,28.000000,5.000000,8.000000,
27,5,0,herbivore,6.000000,0.000000,144.999954,12.000000,9.000000,11.000000,6.000000,8.000000,10.000000,9.000000,10.000000,0.000000,5.000000,28.000000,5.000000,8.000000,
29,5,0,herbivore,6.000000,0.000000,144.999954,12.000000,9.000000,11.000000,6.000000,8.000000,10.000000,9.000000,10.000000,0.000000,5.000000,28.000000,5.000000,8.000000,
30,0,15,carnivore,9.000000,0.000000,757.724487,11.000000,10.000000,16.000000,8.000000,7.000000,7.000000,10.000000,10.000000,0.000000,2.000000,24.000000,3.000000,6.000000,
32,0,15,carnivore,9.000000,0.000000,757.724487,11.000000,10.000000,16.000000,8.000000,7.000000,7.000000,10.000000,10.000000,0.000000,2.000000,24.000000,3.000000,6.000000,
34,2,13,carnivore,15.000000,0.000000,6085.061523,14.000000,9.000000,12.000000,13.000000,13.000000,6.000000,9.000000,10.000000,0.000000,0.250000,39.000000,2.000000,4.000000,
